Identifier	Character	Dialogue	Filename	Line Number
start_4d9a17cb		 Я совсем один посреди пылающего леса.	game/script.rpy	24
start_a2ebba69		Меня пугает треск ломающихся где-то рядом стволов, запах гари почти невыносим.	game/script.rpy	25
start_c6c1a859		Рядом, словно обессилевший гигант упал старый дуб и меня обдало жаром.	game/script.rpy	26
start_fffd1158		Я успел отпрыгнуть. 	game/script.rpy	28
start_96aa91af		Нужно скорее бежать отсюда. И я бегу, пролетаю мимо кричащего, обреченного леса и искры падают на меня как огненные плети.	game/script.rpy	29
start_d38511f1		Мне нужно отсюда выбраться. Иначе, я опять умру. 	game/script.rpy	30
start_8122472d		Становится трудно дышать, я немного замедляюсь, поскальзываюсь и падаю. Под ногами обгоревшая черная ветка, похожая на скрюченную руку.	game/script.rpy	32
start_e71402b2		Мне нужно скорее выбираться отсюда. Но я не знаю куда бежать, поэтому бегаю кругами и снова и снова возвращаюсь к этой обоженной ветке.	game/script.rpy	33
start_c0944eb1		Мама, может ты знаешь что мне делать?	game/script.rpy	34
start_36d06a15		И тогда я ощущаю приятное дуновение свежего ветра. Где-то рядом дует нежный, свежий ветер и я радостный бегу к нему навстречу. И взлетаю.	game/script.rpy	35
start_71e2a1b4		Мне удалось наконец-то вырваться и вылететь из этого леса!	game/script.rpy	39
start_92857bba		Я набираю полную грудь воздуха!	game/script.rpy	40
start_7423400e		Но вдохнуть не получается. Я в вакууме. Воздуха нет. 	game/script.rpy	41
start_98e68624		Я попал в чужую, мертвую галактику.	game/script.rpy	42
start_834d10be		Я оставил что-то важное в этом лесу и просто сбежать не получится. 	game/script.rpy	43
start_9e2f8d84		И я снова здесь.	game/script.rpy	46
start_3cb6e9ae		Что же я здесь потерял? То, без чего я не выберусь, а если и выберусь, это не будет иметь никакого смысла?	game/script.rpy	47
start_b48f5336		Ой!	game/script.rpy	52
start_41acc041		Будильник! 	game/script.rpy	53
start_d077cd76		Мне снится этот лес...	game/script.rpy	56
start_5d202114		А я ведь и леса никогда не видел вживую...знаю, что на некоторых планетах бывает такое скопление фитоэлементов.	game/script.rpy	57
start_315b6166		Ох...	game/script.rpy	62
start_103afc19		Опять будильник	game/script.rpy	63
start_4b75697f		Выключись!	game/script.rpy	65
start_ea84a899		Что?	game/script.rpy	66
start_6fed2029		Уже восемь?! Вот это я влип! 	game/script.rpy	67
start_42ac1585		Экзамен уже начался! 	game/script.rpy	68
start_b17c36ff		Только бы успеть!	game/script.rpy	72
start_bc0f06a2		Надеюсь они начали позже...	game/script.rpy	73
start_a6d999e5		Если я опоздаю еще хоть раз меня точно исключат!	game/script.rpy	76
start_fb4d26df		Так что я опять забыл? Пропуск! 	game/script.rpy	77
start_154043b5		А ключи?!	game/script.rpy	78
start_f5f852de		Пропуск...черт. Это пропуск в библиотеку, это ключ от...	game/script.rpy	79
start_9401ebb3		Ой, а вот и пропуск! 	game/script.rpy	81
start_829fa1a8		В сумке прорвало дно, надо все сунуть в карман, разберусь по дороге.	game/script.rpy	82
start_4ac1d93a		Артур вылетает из комнаты общежития в соседнюю дверь учебного корпуса.	game/script.rpy	84
start_09d4e5e3		По дороге ему несколько раз приходится остановится и подобрать падающий пропуск, застегнуть форму, подтянуть штаны...	game/script.rpy	85
start_c302c4d5		В каком же корпусе лётный экзамен?! Я забыл файл с инструкциями. 	game/script.rpy	89
start_3359805e		Так, вроде бы прямо. Навигатор не зарядил...Ну почему они всегда меняют аудитории и классы! Что за нужда? Маскировка? 	game/script.rpy	90
start_b965b1ce		Вот зачем будущей элите! Пилоту! Искать! Кабинет!	game/script.rpy	91
start_81454d0d		Cпокойствие, только спокойствие...я будущий офицер...я хладнокровен и уверен...	game/script.rpy	92
start_6feb145f	b	Ты опоздал, Артур! Сильно опоздал! Тренер тебя не допустит!	game/script.rpy	94
start_315f6e28	b	Так что, можешь уже не торопиться!	game/script.rpy	95
start_61add72a	a	Ой! Напугала!	game/script.rpy	97
start_ffd3012c	b	А я нарочно!	game/script.rpy	99
start_b7002905	b	Ты опять разговариваешь сам с собой!	game/script.rpy	100
start_a76135e6	a	Не правда! я повторяю материал по космической статикопарадигме!	game/script.rpy	101
start_2b695baf	a	И я почти не опоздал! 	game/script.rpy	102
start_eda21d06	b	Артур, общежитие в одной минуте от учебного корпуса...	game/script.rpy	104
start_73256eec	b	Просто скажи, как ты умудряешься постоянно опаздывать?	game/script.rpy	105
start_2f72a070	a	Не постоянно!	game/script.rpy	106
